@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute action {0,1,2,3,4,5}

@data
1519,'2019/02/20 21:32:40:490',6,0.502512,0.508841,5
1520,'2019/02/20 21:32:40:501',6,0.502533,0.507484,5
1521,'2019/02/20 21:32:40:511',6,0.502533,0.507484,5
1522,'2019/02/20 21:32:40:522',6,0.502512,0.508841,5
1523,'2019/02/20 21:32:40:534',6,0.501834,0.507433,5
1524,'2019/02/20 21:32:40:544',6,0.501834,0.507433,5
1525,'2019/02/20 21:32:40:556',6,0.502533,0.507484,5
1526,'2019/02/20 21:32:40:566',6,0.502533,0.507484,5
1527,'2019/02/20 21:32:40:577',6,0.503223,0.508894,5
1528,'2019/02/20 21:32:40:588',6,0.503223,0.508894,5
1529,'2019/02/20 21:32:40:599',6,0.503223,0.508894,5
1530,'2019/02/20 21:32:40:611',6,0.503223,0.508894,5
1531,'2019/02/20 21:32:40:621',6,0.501834,0.507433,5
1532,'2019/02/20 21:32:40:632',6,0.502512,0.508841,5
1533,'2019/02/20 21:32:40:643',6,0.502512,0.508841,5
1534,'2019/02/20 21:32:40:654',6,0.502512,0.508841,5
1535,'2019/02/20 21:32:40:664',6,0.502512,0.508841,5
1536,'2019/02/20 21:32:40:676',6,0.501834,0.507433,5
1537,'2019/02/20 21:32:40:686',6,0.501834,0.507433,5
1538,'2019/02/20 21:32:40:700',6,0.501817,0.508788,5
1539,'2019/02/20 21:32:40:712',6,0.502533,0.507484,5
1540,'2019/02/20 21:32:40:722',6,0.502533,0.507484,5
1541,'2019/02/20 21:32:40:734',6,0.503249,0.507535,5
1542,'2019/02/20 21:32:40:744',6,0.503249,0.507535,5
1543,'2019/02/20 21:32:40:755',6,0.502533,0.507484,5
1544,'2019/02/20 21:32:40:766',6,0.502533,0.507484,5
1545,'2019/02/20 21:32:40:778',6,0.502533,0.507484,5
1546,'2019/02/20 21:32:40:788',6,0.502533,0.507484,5
1547,'2019/02/20 21:32:40:799',6,0.503223,0.508894,5
1548,'2019/02/20 21:32:40:809',6,0.503223,0.508894,5
1549,'2019/02/20 21:32:40:821',6,0.503223,0.508894,5
1550,'2019/02/20 21:32:40:833',6,0.503223,0.508894,5
1551,'2019/02/20 21:32:40:843',6,0.503223,0.508894,5
1552,'2019/02/20 21:32:40:854',6,0.502533,0.507484,5
1553,'2019/02/20 21:32:40:865',6,0.502533,0.507484,5
1554,'2019/02/20 21:32:40:876',6,0.502512,0.508841,5
1555,'2019/02/20 21:32:40:886',6,0.502512,0.508841,5
1556,'2019/02/20 21:32:40:898',6,0.503223,0.508894,5
1557,'2019/02/20 21:32:40:908',6,0.503223,0.508894,5
1558,'2019/02/20 21:32:40:919',6,0.502533,0.507484,5
1559,'2019/02/20 21:32:40:931',6,0.501834,0.507433,5
1560,'2019/02/20 21:32:40:941',6,0.501834,0.507433,5
1561,'2019/02/20 21:32:40:953',6,0.502533,0.507484,5
